Date,Close,High,Low,Open,Volume,Target,Day,Day_Friday,Day_Monday,Day_Thursday,Day_Tuesday,Day_Wednesday,RSI,RSI_Scaled
2019-08-21,51.104244232177734,51.34697845950399,50.85430033146804,51.188361977889535,86141600,0,Wednesday,False,False,False,False,True,50.34744756800274,0.49976893281855916
2019-08-22,51.061004638671875,51.53686158978541,50.650034771451054,51.23644619968191,89014800,0,Thursday,False,False,True,False,False,54.45665535282766,0.5447273701169612
2019-08-23,48.700927734375,50.96245512141073,48.30678298506462,50.33278212314745,187272000,1,Friday,True,False,False,False,False,49.48921343751928,0.4903790777995014
2019-08-26,49.62620162963867,49.794433450886544,49.282524646709255,49.47479115692625,104174400,0,Monday,False,True,False,False,False,63.170144776510476,0.6400607989476049
2019-08-27,49.06623840332031,50.12129694945658,48.91482789577303,49.95546709208185,103493200,1,Tuesday,False,False,False,True,False,57.6925405498908,0.5801308710726056
2019-08-28,49.395503997802734,49.441167727719616,48.8643715966799,49.05183052262682,63755200,1,Wednesday,False,False,False,False,True,57.14012574617197,0.5740869551607798
2019-08-29,50.23184967041016,50.306355759343454,49.667070999812736,50.10928152499413,83962000,0,Thursday,False,False,True,False,False,56.37169880857846,0.5656796717861639
2019-08-30,50.166961669921875,50.57792781692434,49.79684790345952,50.508233068974185,84573600,0,Friday,True,False,False,False,False,58.00123821800173,0.5835083018287677
2019-09-03,49.43634796142578,49.74397297835489,49.08065722319765,49.611789494397975,80092000,1,Tuesday,False,False,False,True,False,55.12167378070811,0.5520032711805573
2019-09-04,50.27511215209961,50.344806902391355,49.82569194490394,50.08284558735108,76752400,1,Wednesday,False,False,False,False,True,50.23936763567214,0.49858644093317783
2019-09-05,51.2580680847168,51.42389794369397,50.83267892479877,50.950443061493466,95654800,0,Thursday,False,False,True,False,False,62.0123765459818,0.6273937708672707
2019-09-06,51.253265380859375,51.53205173117485,51.07301615444194,51.44312995297315,77449200,1,Friday,True,False,False,False,False,63.445426255316335,0.6430726264706641
2019-09-09,51.47196578979492,52.01752111151944,50.72693789572652,51.63298798303403,109237600,1,Monday,False,True,False,False,False,59.835916082959535,0.603581331491342
2019-09-10,52.08000564575195,52.09923266869462,50.88074988553813,51.39746283359591,127111600,1,Tuesday,False,False,False,True,False,58.42851869829901,0.5881831354434652
2019-09-11,53.73589324951172,53.76473561660298,52.32754595134343,52.4092617130592,177158400,0,Wednesday,False,False,False,False,True,64.84853818379783,0.6584239357649355
2019-09-12,53.615726470947266,54.41603338856972,53.56045107438245,54.02669627568618,128906800,0,Thursday,False,False,True,False,False,62.216587853961315,0.6296280266572375
2019-09-13,52.57268905639648,53.06296532020904,52.15691521661223,52.87310442243304,159053200,1,Friday,True,False,False,False,False,56.70145248108929,0.5692874742108173
2019-09-16,52.84906768798828,52.90434675357643,52.28669102458082,52.32754707272448,84632400,1,Monday,False,True,False,False,False,72.55629272048702,0.7427537183397974
2019-09-17,53.04134368896485,53.07018606180777,52.661618173292,52.86350011447142,73274800,1,Tuesday,False,False,False,True,False,70.17907978460833,0.7167448659480203
2019-09-18,53.538822174072266,53.55804919622197,52.73851525459077,53.12785236837871,101360000,0,Wednesday,False,False,False,False,True,76.62378712978071,0.7872557737085119
2019-09-19,53.10382080078125,53.77674823327691,52.962021972267294,53.356166754377384,88242400,0,Thursday,False,False,True,False,False,71.79994106626988,0.7344785494502513
2019-09-20,52.32754135131836,53.48834659405456,52.26505628460942,53.20475629070718,221652400,1,Friday,True,False,False,False,False,62.407486956140666,0.6317166349158284
